img,building_percent,overlap_percent
0,3.89,22.33
100,8.91,17.52
101,0.2,22.48
102,2.74,36.0
103,0.03,22.95
104,2.11,18.86
105,0.18,25.47
106,5.18,14.18
107,5.56,19.18
108,12.32,21.77
109,1.28,23.44
10,0.43,21.81
110,0.78,7.19
111,3.81,8.69
112,2.02,24.99
113,0.97,31.53
114,5.01,57.39
115,5.01,39.51
116,2.15,26.18
117,1.03,9.2
118,1.43,44.59
119,0.05,17.48
11,2.89,28.26
120,1.22,25.72
121,0.5,75.36
122,1.7,79.44
123,2.53,25.89
124,0.0,88.28
125,0.0,11.7
126,4.45,16.83
127,0.84,16.66
128,0.8,17.02
129,2.41,74.67
12,0.3,14.24
130,0.0,78.6
131,2.77,23.87
132,0.0,72.54
133,0.0,15.56
134,1.75,68.64
135,0.18,78.69
136,1.94,65.49
137,0.74,28.4
138,0.0,93.73
139,0.29,84.97
13,1.84,23.97
140,0.43,15.28
141,0.02,13.06
142,0.39,43.53
143,2.62,30.96
144,0.0,4.18
145,1.74,14.15
146,0.48,23.03
147,0.0,14.8
148,2.63,14.11
149,0.83,15.27
14,2.74,28.31
150,1.76,14.11
151,0.2,8.75
152,1.3,13.03
153,2.11,15.64
154,0.0,14.47
155,0.0,15.64
156,0.02,23.61
157,0.0,9.07
158,0.63,28.09
159,0.13,25.52
15,1.91,8.92
160,0.95,22.37
161,0.0,18.74
162,0.66,60.19
163,1.45,42.11
164,0.0,22.19
165,0.0,16.04
166,0.0,28.82
167,1.28,27.77
168,0.69,36.24
169,0.0,37.95
16,2.64,10.96
170,0.0,34.62
171,0.38,29.06
172,0.17,52.0
173,0.0,9.69
174,0.0,34.53
175,1.8,17.53
176,2.03,46.36
177,0.0,33.2
178,2.98,61.33
179,0.0,28.99
17,0.19,9.61
180,0.04,48.95
181,0.0,17.31
182,0.75,11.81
183,0.64,9.95
184,0.12,6.07
185,3.3,22.9
186,1.67,19.47
187,0.0,23.7
188,0.3,29.36
189,0.0,28.61
18,4.8,26.35
190,0.08,18.3
191,0.0,5.98
192,0.91,11.26
193,0.39,16.43
194,0.24,22.77
195,0.78,10.04
196,2.07,30.73
197,0.36,29.7
198,0.22,26.91
199,0.13,37.53
19,2.67,13.48
1,0.23,11.52
200,3.09,39.43
201,0.71,10.72
202,0.2,22.43
203,0.22,33.0
204,0.5,11.41
205,0.27,24.74
206,3.49,12.29
207,0.0,21.97
208,0.0,8.35
209,0.35,14.66
20,0.45,24.0
210,0.62,17.93
211,1.08,17.24
212,0.13,17.23
213,0.91,13.71
214,1.22,20.38
215,0.99,12.56
216,2.28,15.82
217,2.52,28.36
218,0.36,31.81
219,1.13,15.32
21,0.07,17.88
220,1.71,22.03
221,0.55,36.36
222,1.7,10.82
223,0.0,8.18
224,0.17,14.56
225,0.1,19.37
226,5.54,10.24
227,0.0,13.95
228,4.17,16.21
229,3.7,36.33
22,0.87,39.42
230,4.79,26.4
231,0.0,4.67
232,0.64,31.79
233,1.87,8.93
234,0.0,30.59
235,0.69,47.67
236,3.54,36.35
237,2.71,10.5
238,1.57,25.64
239,3.84,16.97
23,0.0,22.44
240,0.76,47.36
241,0.22,35.04
242,0.0,11.6
243,0.72,37.71
244,1.48,15.16
245,0.17,18.61
246,0.01,29.45
247,0.03,16.71
248,0.6,49.03
249,0.11,13.91
24,0.97,22.19
250,0.0,4.94
251,0.31,35.22
252,0.35,30.72
253,0.55,24.55
254,1.5,17.19
255,0.0,15.29
256,0.0,5.13
257,1.08,28.27
258,2.07,11.74
259,0.18,37.64
25,0.24,30.58
260,0.57,20.07
261,5.34,25.2
262,0.4,23.16
263,1.87,29.68
264,0.13,38.55
265,3.13,23.45
266,0.64,9.42
267,1.19,31.0
268,0.97,11.85
269,0.71,31.39
26,3.77,25.44
270,1.14,35.62
271,2.13,18.7
272,1.2,13.59
273,0.4,49.75
274,0.66,23.32
275,1.07,47.15
276,0.63,27.43
277,0.55,33.89
278,3.17,18.96
279,0.95,31.12
27,1.34,20.69
280,0.27,13.6
281,0.87,22.5
282,0.06,9.6
283,0.0,22.66
284,0.0,12.96
285,1.51,43.99
286,9.26,43.91
287,3.29,37.1
288,0.35,23.6
289,1.45,28.75
28,0.66,6.73
290,0.01,33.72
291,0.13,34.15
292,2.18,25.06
293,0.63,19.1
294,0.11,40.93
295,0.0,6.15
296,6.57,59.99
297,0.0,20.92
298,1.58,7.84
299,0.05,11.01
29,0.4,33.42
2,0.38,13.43
300,0.23,17.45
301,0.98,34.94
302,1.69,23.31
303,2.56,15.05
304,3.84,17.16
305,0.06,18.79
306,0.84,8.37
307,0.39,11.69
308,0.1,45.59
309,0.24,22.88
30,0.08,22.05
310,0.0,53.58
311,0.67,34.92
312,1.41,29.69
313,0.58,17.26
314,0.32,31.45
315,1.44,31.23
316,5.21,28.26
317,2.24,14.45
318,0.46,8.14
319,0.32,37.36
31,4.83,21.95
320,0.08,12.71
321,0.01,11.38
322,3.47,24.79
323,2.42,40.48
324,0.4,12.67
325,2.4,21.83
326,1.76,21.86
327,0.27,4.78
328,1.59,30.56
329,1.06,39.02
32,0.23,14.37
330,0.94,22.55
331,0.44,28.11
332,0.94,38.5
333,0.09,22.03
334,0.0,24.34
335,0.0,25.94
336,0.33,16.13
337,0.0,21.19
338,0.71,18.47
339,2.74,21.49
33,0.99,24.73
340,0.84,9.29
341,2.37,11.29
342,0.3,9.88
343,1.92,8.8
344,5.09,50.23
345,1.42,28.45
346,0.98,8.7
347,0.31,40.87
348,1.72,22.38
349,0.73,9.11
34,4.96,33.4
350,1.72,34.99
351,0.11,8.64
352,2.61,39.37
353,2.36,44.45
354,1.72,33.26
355,5.51,31.92
356,0.28,14.41
357,0.41,10.82
358,2.15,43.73
359,4.37,35.91
35,1.97,30.87
360,0.0,26.23
361,0.0,47.03
362,0.19,37.66
363,0.0,2.38
364,1.52,42.49
365,0.0,17.96
366,2.53,10.95
367,5.51,29.19
368,0.57,28.53
369,0.88,30.18
36,5.08,33.16
370,0.52,23.76
371,0.07,21.37
372,0.81,30.87
373,1.0,17.17
374,0.33,27.75
375,0.76,35.54
376,1.18,43.24
377,0.0,24.91
378,0.02,39.79
379,0.17,28.65
37,0.69,35.97
380,2.57,32.08
381,0.3,34.67
382,0.36,34.99
383,0.64,14.57
384,1.74,17.11
385,1.41,35.78
386,2.55,34.76
387,0.06,15.55
388,0.37,26.46
389,1.21,16.96
38,1.84,24.07
390,0.46,27.93
391,1.72,8.61
392,0.03,41.38
393,0.92,22.89
394,3.28,24.02
395,2.58,19.41
396,0.54,36.98
397,2.7,45.37
398,0.16,34.39
399,0.29,19.42
39,0.56,18.93
3,8.06,20.31
400,0.33,20.41
401,0.84,18.15
402,1.4,18.56
403,0.88,3.79
404,1.14,13.06
405,0.14,6.87
406,0.66,13.95
407,0.0,25.82
408,0.67,5.06
409,0.53,5.82
40,4.84,19.27
410,0.9,48.69
411,0.54,36.96
