img,change,building_percent,overlap_percent
84,1,4.18,26.54
119,1,2.75,18.02
131,1,2.44,29.3
145,1,5.73,15.31
147,1,2.48,45.18
167,1,8.06,14.51
320,1,24.15,36.17
327,1,13.28,39.43
371,1,4.14,35.58
394,1,14.18,25.51
1,0,2.21,13.0
6,0,2.55,34.22
10,0,0.09,9.67
37,0,3.52,16.3
44,0,1.0,29.3
79,0,1.72,32.03
83,0,6.12,21.76
136,0,0.0,12.27
173,0,14.09,33.69
288,0,4.04,9.17
296,0,6.91,28.63
304,0,2.39,9.77
305,0,1.29,13.9
311,0,0.62,16.68
330,0,4.82,21.44
342,0,0.68,16.62
382,0,3.48,13.68
3,0,1.58,19.72
4,0,5.97,23.5
20,0,3.43,17.28
34,0,0.98,21.12
66,0,2.52,39.52
68,0,2.6,10.6
82,0,3.21,12.6
188,0,2.89,8.43
191,0,1.04,22.64
226,0,4.43,18.25
227,0,1.34,9.64
310,0,0.66,18.01
337,0,1.2,7.83
380,0,2.96,13.7
381,0,3.45,13.6
389,0,5.91,41.92
